"Date","Price","Open","High","Low","Change %"
"07/13/2025","6.305","6.300","6.310","6.300","0.02%"
"07/06/2025","6.304","6.290","6.310","6.290","0.14%"
"06/29/2025","6.295","6.310","6.310","6.280","-0.29%"
"06/22/2025","6.313","6.300","6.310","6.240","0.05%"
"06/15/2025","6.310","6.260","6.310","6.250","0.32%"
"06/08/2025","6.290","6.270","6.290","6.270","0.96%"
"06/01/2025","6.230","6.220","6.230","6.180","0.48%"
"05/25/2025","6.200","6.200","6.200","6.160","-0.16%"
"05/18/2025","6.210","6.230","6.230","6.190","-0.16%"
"05/11/2025","6.220","6.370","6.370","6.220","-2.35%"
"05/04/2025","6.370","6.320","6.390","6.320","0.22%"
"04/27/2025","6.356","6.360","6.375","6.324","-0.06%"
"04/20/2025","6.360","6.320","6.360","6.320","-0.16%"
"04/13/2025","6.370","6.410","6.410","6.370","-1.09%"
"04/06/2025","6.440","6.480","6.480","6.440","-0.31%"
"03/30/2025","6.460","6.545","6.545","6.461","-1.82%"
"03/23/2025","6.580","6.643","6.646","6.577","-0.60%"
"03/16/2025","6.620","6.702","6.702","6.617","-1.05%"
"03/09/2025","6.690","6.714","6.717","6.678","0.15%"
"03/02/2025","6.680","6.789","6.789","6.680","-0.60%"
"02/23/2025","6.720","6.696","6.731","6.693","0.30%"
"02/16/2025","6.700","6.694","6.714","6.680","0.00%"
"02/09/2025","6.700","6.717","6.728","6.685","0.01%"
"02/02/2025","6.699","6.703","6.710","6.649","0.07%"
"01/26/2025","6.694","6.672","6.702","6.631","-0.39%"
"01/19/2025","6.720","6.780","6.780","6.709","-0.80%"
"01/12/2025","6.774","6.795","6.869","6.743","0.07%"
"01/05/2025","6.769","6.788","6.790","6.731","-0.15%"
"12/29/2024","6.779","6.785","6.801","6.758","-0.12%"
"12/22/2024","6.787","6.785","6.807","6.771","-0.06%"
"12/15/2024","6.791","6.734","6.799","6.727","0.92%"
"12/08/2024","6.729","6.753","6.783","6.692","-0.16%"
"12/01/2024","6.740","6.802","6.802","6.668","-0.16%"
"11/24/2024","6.751","6.841","6.841","6.739","-1.45%"
"11/17/2024","6.850","6.842","6.863","6.806","0.34%"
"11/10/2024","6.827","6.786","6.831","6.778","0.78%"
"11/03/2024","6.774","6.831","6.838","6.767","-0.98%"
"10/27/2024","6.841","6.875","6.875","6.826","-0.06%"
"10/20/2024","6.845","6.831","6.859","6.804","0.53%"
"10/13/2024","6.809","6.788","6.821","6.758","0.31%"
"10/06/2024","6.788","6.846","6.853","6.741","-0.60%"
"09/29/2024","6.829","6.760","6.838","6.730","1.04%"
"09/22/2024","6.759","6.775","6.775","6.706","-0.03%"
"09/15/2024","6.761","6.797","6.797","6.736","-0.46%"
"09/08/2024","6.792","6.861","6.861","6.784","-0.90%"
"09/01/2024","6.854","6.877","6.885","6.846","-0.13%"
"08/25/2024","6.863","6.854","6.872","6.848","0.06%"
"08/18/2024","6.859","6.871","6.874","6.843","-0.12%"
"08/11/2024","6.867","6.881","6.887","6.857","-0.19%"
"08/04/2024","6.880","6.862","6.889","6.844","-0.29%"
"07/28/2024","6.900","6.942","6.942","6.894","-0.58%"
"07/21/2024","6.940","6.982","6.987","6.927","-0.36%"
"07/14/2024","6.965","7.005","7.005","6.959","-0.30%"
"07/07/2024","6.986","6.989","7.006","6.972","-0.10%"
"06/30/2024","6.993","7.023","7.024","6.987","-0.21%"
"06/23/2024","7.008","6.979","7.020","6.954","0.50%"
"06/16/2024","6.973","6.998","6.998","6.964","-0.16%"
"06/09/2024","6.984","7.048","7.055","6.975","-0.48%"
"06/02/2024","7.018","6.955","7.062","6.945","0.46%"
"05/26/2024","6.986","7.016","7.022","6.967","-0.17%"
"05/19/2024","6.998","7.101","7.101","6.985","-1.37%"
"05/12/2024","7.095","7.134","7.134","7.055","-0.45%"
"05/05/2024","7.127","7.132","7.148","7.106","-0.31%"
"04/28/2024","7.149","7.185","7.205","7.147","-0.69%"
"04/21/2024","7.199","7.241","7.242","7.160","-0.36%"
"04/14/2024","7.225","7.193","7.233","7.155","0.64%"
"04/07/2024","7.179","7.141","7.187","7.113","0.87%"
"03/31/2024","7.117","7.085","7.121","7.075","0.92%"
"03/24/2024","7.052","7.091","7.100","7.031","-0.49%"
"03/17/2024","7.087","7.080","7.103","7.048","0.35%"
"03/10/2024","7.062","7.025","7.064","7.006","0.44%"
"03/03/2024","7.031","7.051","7.066","7.026","-0.41%"
"02/25/2024","7.060","7.055","7.082","7.046","-0.24%"
"02/18/2024","7.077","7.118","7.118","7.038","-0.31%"
"02/11/2024","7.099","7.120","7.140","7.075","-0.21%"
"02/04/2024","7.114","7.092","7.118","7.048","0.91%"
"01/28/2024","7.050","7.182","7.182","7.021","-1.69%"
"01/21/2024","7.171","7.172","7.195","7.166","-0.18%"
"01/14/2024","7.184","7.153","7.196","7.134","0.08%"
"01/07/2024","7.178","7.233","7.233","7.158","-0.79%"
"12/31/2023","7.235","7.207","7.239","7.192","0.82%"
"12/24/2023","7.176","7.213","7.225","7.172","-0.17%"
"12/17/2023","7.188","7.171","7.198","7.147","0.35%"
"12/10/2023","7.163","7.287","7.287","7.155","-1.42%"
"12/03/2023","7.266","7.264","7.276","7.226","-0.33%"
"11/26/2023","7.290","7.258","7.298","7.237","0.25%"
"11/19/2023","7.272","7.230","7.291","7.224","0.83%"
"11/12/2023","7.212","7.316","7.316","7.194","-1.21%"
"11/05/2023","7.300","7.301","7.318","7.246","-0.23%"
"10/29/2023","7.317","7.359","7.376","7.309","-0.46%"
"10/22/2023","7.351","7.377","7.391","7.333","-0.19%"
"10/15/2023","7.365","7.344","7.381","7.309","0.61%"
"10/08/2023","7.320","7.366","7.395","7.292","-0.26%"
"10/01/2023","7.339","7.239","7.365","7.205","1.79%"
"09/24/2023","7.210","7.186","7.241","7.124","0.84%"
"09/17/2023","7.150","7.193","7.207","7.086","-0.11%"
"09/10/2023","7.158","7.188","7.222","7.096","-0.57%"
"09/03/2023","7.199","7.192","7.232","7.158","0.33%"
"08/27/2023","7.175","7.212","7.212","7.153","-0.43%"
"08/20/2023","7.206","7.233","7.244","7.175","-0.11%"
"08/13/2023","7.214","7.226","7.256","7.205","0.22%"
"08/06/2023","7.198","7.170","7.202","7.152","0.07%"
"07/30/2023","7.193","7.179","7.219","7.147","0.45%"
"07/23/2023","7.161","7.082","7.179","7.066","1.04%"
"07/16/2023","7.087","7.110","7.110","7.047","-0.03%"
"07/09/2023","7.089","7.168","7.168","7.060","-0.98%"
"07/02/2023","7.159","7.113","7.175","7.100","0.69%"
"06/25/2023","7.110","7.077","7.117","7.047","0.51%"
"06/18/2023","7.074","7.055","7.098","7.028","0.57%"
"06/11/2023","7.034","7.048","7.057","6.998","-0.07%"
"06/04/2023","7.039","7.005","7.044","6.972","0.79%"
"05/28/2023","6.984","7.020","7.034","6.963","-0.27%"
"05/21/2023","7.003","6.989","7.026","6.976","-0.01%"
"05/14/2023","7.004","7.042","7.042","6.947","0.13%"
"05/07/2023","6.995","7.049","7.070","6.992","-0.27%"
"04/30/2023","7.014","7.135","7.138","6.991","-1.43%"
"04/23/2023","7.116","7.161","7.161","7.077","-0.96%"
"04/16/2023","7.185","7.251","7.276","7.183","-0.61%"
"04/09/2023","7.229","7.258","7.258","7.196","0.14%"
"04/02/2023","7.219","7.370","7.370","7.181","-1.31%"
"03/26/2023","7.315","7.331","7.342","7.280","-0.04%"
"03/19/2023","7.318","7.341","7.375","7.314","-0.49%"
"03/12/2023","7.354","7.393","7.408","7.330","-1.01%"
"03/05/2023","7.429","7.400","7.473","7.400","0.18%"
"02/26/2023","7.416","7.453","7.468","7.410","-0.04%"
"02/19/2023","7.419","7.386","7.438","7.361","0.42%"
"02/12/2023","7.388","7.387","7.408","7.335","0.34%"
"02/05/2023","7.363","7.309","7.370","7.306","1.18%"
"01/29/2023","7.277","7.392","7.416","7.245","-1.49%"
"01/22/2023","7.387","7.366","7.403","7.331","0.54%"
"01/15/2023","7.347","7.326","7.356","7.281","0.66%"
"01/08/2023","7.299","7.338","7.349","7.266","-1.00%"
"01/01/2023","7.373","7.346","7.378","7.308","0.63%"
"12/25/2022","7.327","7.337","7.339","7.305","0.12%"
"12/18/2022","7.318","7.302","7.344","7.281","0.51%"
"12/11/2022","7.281","7.328","7.328","7.211","-0.25%"
"12/04/2022","7.299","7.237","7.309","7.209","1.08%"
"11/27/2022","7.221","7.272","7.306","7.181","-1.10%"
"11/20/2022","7.301","7.338","7.339","7.245","-0.08%"
"11/13/2022","7.307","7.338","7.338","7.243","0.00%"
"11/06/2022","7.307","7.484","7.484","7.235","-2.17%"
"10/30/2022","7.469","7.432","7.497","7.396","0.71%"
"10/23/2022","7.416","7.505","7.505","7.372","-1.26%"
"10/16/2022","7.511","7.461","7.541","7.368","0.55%"
"10/09/2022","7.470","7.498","7.532","7.372","0.13%"
"10/02/2022","7.460","7.403","7.518","7.361","0.84%"
"09/25/2022","7.398","7.413","7.423","7.283","0.07%"
"09/18/2022","7.393","7.294","7.396","7.232","1.75%"
"09/11/2022","7.266","7.182","7.291","7.106","1.38%"
"09/04/2022","7.167","7.232","7.232","7.122","-0.90%"
"08/28/2022","7.232","7.256","7.280","7.172","0.21%"
"08/21/2022","7.217","7.295","7.320","7.203","-0.65%"
"08/14/2022","7.264","7.251","7.295","7.164","-0.34%"
"08/07/2022","7.289","7.365","7.366","7.241","-0.15%"
"07/31/2022","7.300","7.357","7.357","7.110","-0.27%"
"07/24/2022","7.320","7.399","7.414","7.255","-1.27%"
"07/17/2022","7.414","7.429","7.471","7.400","-0.32%"
"07/10/2022","7.438","7.453","7.475","7.333","0.31%"
"07/03/2022","7.415","7.398","7.420","7.281","-0.12%"
"06/26/2022","7.424","7.481","7.481","7.385","-0.27%"
"06/19/2022","7.444","7.503","7.503","7.365","-1.35%"
"06/12/2022","7.546","7.594","7.617","7.544","0.36%"
"06/05/2022","7.519","7.500","7.562","7.438","0.84%"
"05/29/2022","7.456","7.376","7.484","7.364","1.44%"
"05/22/2022","7.350","7.420","7.420","7.272","-0.12%"
"05/15/2022","7.359","7.340","7.389","7.319","0.56%"
"05/08/2022","7.318","7.491","7.491","7.192","-1.79%"
"05/01/2022","7.451","7.138","7.470","7.116","4.37%"
"04/24/2022","7.139","7.219","7.219","7.038","-0.39%"
"04/17/2022","7.167","7.248","7.263","7.101","-0.67%"
"04/10/2022","7.215","7.187","7.285","7.132","1.35%"
"04/03/2022","7.119","6.951","7.121","6.891","4.03%"
"03/27/2022","6.843","6.863","6.889","6.773","0.47%"
"03/20/2022","6.811","6.821","6.849","6.781","0.49%"
"03/13/2022","6.778","6.892","6.892","6.774","-1.12%"
"03/06/2022","6.855","6.856","6.919","6.789","0.62%"
"02/27/2022","6.813","6.777","6.856","6.749","0.95%"
"02/20/2022","6.749","6.681","6.792","6.667","1.29%"
"02/13/2022","6.663","6.725","6.726","6.615","-0.52%"
"02/06/2022","6.698","6.861","6.861","6.688","-2.63%"
"01/30/2022","6.879","6.783","6.955","6.650","1.64%"
"01/23/2022","6.768","6.630","6.802","6.627","2.24%"
"01/16/2022","6.620","6.617","6.680","6.588","0.58%"
"01/09/2022","6.582","6.558","6.605","6.551","0.61%"
"01/02/2022","6.542","6.463","6.547","6.455","1.36%"
"12/26/2021","6.454","6.469","6.497","6.447","-0.12%"
"12/19/2021","6.462","6.401","6.486","6.401","0.80%"
"12/12/2021","6.411","6.370","6.415","6.353","0.64%"
"12/05/2021","6.370","6.364","6.402","6.343","0.02%"
"11/28/2021","6.369","6.375","6.375","6.307","0.62%"
"11/21/2021","6.330","6.339","6.390","6.319","-0.24%"
"11/14/2021","6.345","6.361","6.393","6.335","-0.36%"
"11/07/2021","6.368","6.336","6.386","6.287","0.17%"
"10/31/2021","6.357","6.391","6.391","6.353","-0.49%"
"10/24/2021","6.388","6.378","6.394","6.307","0.38%"
"10/17/2021","6.364","6.356","6.429","6.337","0.57%"
"10/10/2021","6.328","6.340","6.349","6.312","0.16%"
"10/03/2021","6.318","6.246","6.322","6.235","1.19%"
"09/26/2021","6.244","6.207","6.253","6.183","1.02%"
"09/19/2021","6.181","6.178","6.188","6.116","0.23%"
"09/12/2021","6.167","6.195","6.202","6.155","-0.18%"
"09/05/2021","6.178","6.162","6.200","6.137","0.36%"
"08/29/2021","6.156","6.255","6.255","6.153","-1.57%"
"08/22/2021","6.254","6.244","6.284","6.234","0.32%"
"08/15/2021","6.234","6.257","6.257","6.219","-0.11%"
"08/08/2021","6.241","6.261","6.261","6.220","0.11%"
"08/01/2021","6.234","6.204","6.262","6.188","0.48%"
"07/25/2021","6.204","6.176","6.225","6.161","0.63%"
"07/18/2021","6.165","6.139","6.165","6.116","0.57%"
"07/11/2021","6.130","6.277","6.277","6.100","-0.91%"
"07/04/2021","6.186","6.061","6.197","6.061","2.00%"
"06/27/2021","6.065","6.046","6.089","6.035","0.61%"
"06/20/2021","6.028","6.011","6.063","6.006","0.37%"
"06/13/2021","6.006","6.018","6.074","6.004","0.00%"
"06/06/2021","6.006","6.040","6.045","6.004","-0.36%"
"05/30/2021","6.028","6.039","6.039","5.984","0.42%"
"05/23/2021","6.003","5.985","6.003","5.971","0.43%"
"05/16/2021","5.977","5.989","5.989","5.958","-0.15%"
"05/09/2021","5.986","6.030","6.045","5.985","-0.48%"
"05/02/2021","6.015","6.029","6.048","5.974","-0.25%"
"04/25/2021","6.030","6.049","6.077","6.026","-0.08%"
"04/18/2021","6.035","6.109","6.109","6.035","-0.87%"
"04/11/2021","6.088","6.022","6.176","6.005","1.18%"
"04/04/2021","6.017","6.202","6.202","5.990","-2.59%"
"03/28/2021","6.177","6.147","6.185","6.131","0.88%"
"03/21/2021","6.123","6.208","6.208","6.114","-1.13%"
"03/14/2021","6.193","6.246","6.247","6.165","-0.63%"
"03/07/2021","6.232","6.244","6.274","6.200","0.00%"
"02/28/2021","6.232","6.236","6.258","6.188","0.05%"
"02/21/2021","6.229","6.192","6.242","6.141","1.58%"
"02/14/2021","6.132","6.019","6.137","6.002","2.37%"
"02/07/2021","5.990","6.078","6.099","5.944","-1.33%"
"01/31/2021","6.071","5.917","6.153","5.888","2.05%"
"01/24/2021","5.949","5.963","5.963","5.933","0.17%"
"01/17/2021","5.939","5.965","5.986","5.931","-0.82%"
"01/10/2021","5.988","5.946","5.988","5.908","1.63%"
"01/03/2021","5.892","5.904","5.912","5.839","-0.10%"
"12/27/2020","5.898","5.918","5.935","5.887","-0.52%"
"12/20/2020","5.929","5.962","5.981","5.929","-0.50%"
"12/13/2020","5.959","5.970","5.979","5.923","0.05%"
"12/06/2020","5.956","5.908","5.960","5.898","1.00%"
"11/29/2020","5.897","5.919","5.951","5.888","-0.24%"
"11/22/2020","5.911","5.883","5.916","5.869","0.58%"
"11/15/2020","5.877","5.888","5.891","5.860","-0.02%"
"11/08/2020","5.878","5.883","5.936","5.871","0.12%"
"11/01/2020","5.871","5.890","5.914","5.837","-0.17%"
"10/25/2020","5.881","5.822","5.886","5.791","0.63%"
"10/18/2020","5.844","5.932","5.950","5.844","-1.53%"
"10/11/2020","5.935","5.945","5.945","5.888","-0.03%"
"10/04/2020","5.937","6.018","6.042","5.920","-0.98%"
"09/27/2020","5.996","6.068","6.079","5.965","-0.70%"
"09/20/2020","6.038","6.027","6.041","5.981","0.40%"
"09/13/2020","6.014","6.074","6.074","5.981","-0.45%"
"09/06/2020","6.041","5.956","6.109","5.938","1.87%"
"08/30/2020","5.930","6.117","6.117","5.878","-2.74%"
"08/23/2020","6.097","6.182","6.231","6.096","-0.70%"
"08/16/2020","6.140","6.004","6.144","5.960","2.93%"
"08/09/2020","5.965","5.910","5.993","5.876","1.34%"
"08/02/2020","5.886","5.846","5.893","5.808","0.84%"
"07/26/2020","5.837","5.835","5.889","5.813","0.34%"
"07/19/2020","5.817","5.812","5.841","5.794","0.21%"
"07/12/2020","5.805","5.780","5.847","5.770","0.78%"
"07/05/2020","5.760","5.851","5.851","5.747","-1.45%"
"06/28/2020","5.845","5.938","5.938","5.821","-1.15%"
"06/21/2020","5.913","5.862","5.937","5.835","1.09%"
"06/14/2020","5.849","5.835","5.862","5.784","0.91%"
"06/07/2020","5.796","5.855","5.855","5.755","-0.43%"
"05/31/2020","5.821","6.055","6.089","5.796","-3.19%"
"05/24/2020","6.013","5.990","6.027","5.949","0.87%"
"05/17/2020","5.961","6.102","6.102","5.879","-1.97%"
"05/10/2020","6.081","6.234","6.250","5.993","1.91%"
"05/03/2020","5.967","6.138","6.140","5.966","-2.34%"
"04/26/2020","6.110","6.202","6.202","6.104","-0.92%"
"04/19/2020","6.167","6.293","6.293","6.015","-2.84%"
"04/12/2020","6.347","6.471","6.500","6.298","-2.20%"
"04/05/2020","6.490","6.358","6.504","6.356","2.92%"
"03/29/2020","6.306","6.190","6.315","6.079","2.64%"
"03/22/2020","6.144","6.379","6.379","6.004","-1.84%"
"03/15/2020","6.259","6.239","6.449","6.123","-1.00%"
"03/08/2020","6.322","6.094","6.355","5.995","2.22%"
"03/01/2020","6.185","6.343","6.380","6.148","-2.92%"
"02/23/2020","6.371","6.384","6.404","6.326","-0.79%"
"02/16/2020","6.422","6.346","6.423","6.346","0.83%"
"02/09/2020","6.369","6.432","6.488","6.367","-1.09%"
"02/02/2020","6.439","6.509","6.520","6.409","-2.42%"
"01/26/2020","6.599","6.549","6.600","6.547","0.32%"
