Datum;Grupp;Serie;Värde
2022-06-10;Andra riksbanksräntor;Referensränta;0,00
2022-06-13;Andra riksbanksräntor;Referensränta;0,00
2022-06-14;Andra riksbanksräntor;Referensränta;0,00
2022-06-15;Andra riksbanksräntor;Referensränta;0,00
2022-06-16;Andra riksbanksräntor;Referensränta;0,00
2022-06-17;Andra riksbanksräntor;Referensränta;0,00
2022-06-20;Andra riksbanksräntor;Referensränta;0,00
2022-06-21;Andra riksbanksräntor;Referensränta;0,00
2022-06-22;Andra riksbanksräntor;Referensränta;0,00
2022-06-23;Andra riksbanksräntor;Referensränta;0,00
2022-06-27;Andra riksbanksräntor;Referensränta;0,00
2022-06-28;Andra riksbanksräntor;Referensränta;0,00
2022-06-29;Andra riksbanksräntor;Referensränta;0,00
2022-06-30;Andra riksbanksräntor;Referensränta;0,00
2022-07-01;Andra riksbanksräntor;Referensränta;0,50
2022-07-04;Andra riksbanksräntor;Referensränta;0,50
2022-07-05;Andra riksbanksräntor;Referensränta;0,50
2022-07-06;Andra riksbanksräntor;Referensränta;0,50
2022-07-07;Andra riksbanksräntor;Referensränta;0,50
2022-07-08;Andra riksbanksräntor;Referensränta;0,50
2022-07-11;Andra riksbanksräntor;Referensränta;0,50
2022-07-12;Andra riksbanksräntor;Referensränta;0,50
2022-07-13;Andra riksbanksräntor;Referensränta;0,50
2022-07-14;Andra riksbanksräntor;Referensränta;0,50
2022-07-15;Andra riksbanksräntor;Referensränta;0,50
2022-07-18;Andra riksbanksräntor;Referensränta;0,50
2022-07-19;Andra riksbanksräntor;Referensränta;0,50
2022-07-20;Andra riksbanksräntor;Referensränta;0,50
2022-07-21;Andra riksbanksräntor;Referensränta;0,50
2022-07-22;Andra riksbanksräntor;Referensränta;0,50
2022-07-25;Andra riksbanksräntor;Referensränta;0,50
2022-07-26;Andra riksbanksräntor;Referensränta;0,50
2022-07-27;Andra riksbanksräntor;Referensränta;0,50
2022-07-28;Andra riksbanksräntor;Referensränta;0,50
2022-07-29;Andra riksbanksräntor;Referensränta;0,50
2022-08-01;Andra riksbanksräntor;Referensränta;0,50
2022-08-02;Andra riksbanksräntor;Referensränta;0,50
2022-08-03;Andra riksbanksräntor;Referensränta;0,50
2022-08-04;Andra riksbanksräntor;Referensränta;0,50
2022-08-05;Andra riksbanksräntor;Referensränta;0,50
2022-08-08;Andra riksbanksräntor;Referensränta;0,50
2022-08-09;Andra riksbanksräntor;Referensränta;0,50
2022-08-10;Andra riksbanksräntor;Referensränta;0,50
2022-08-11;Andra riksbanksräntor;Referensränta;0,50
2022-08-12;Andra riksbanksräntor;Referensränta;0,50
2022-08-15;Andra riksbanksräntor;Referensränta;0,50
2022-08-16;Andra riksbanksräntor;Referensränta;0,50
2022-08-17;Andra riksbanksräntor;Referensränta;0,50
2022-08-18;Andra riksbanksräntor;Referensränta;0,50
2022-08-19;Andra riksbanksräntor;Referensränta;0,50
2022-08-22;Andra riksbanksräntor;Referensränta;0,50
2022-08-23;Andra riksbanksräntor;Referensränta;0,50
2022-08-24;Andra riksbanksräntor;Referensränta;0,50
2022-08-25;Andra riksbanksräntor;Referensränta;0,50
2022-08-26;Andra riksbanksräntor;Referensränta;0,50
2022-08-29;Andra riksbanksräntor;Referensränta;0,50
2022-08-30;Andra riksbanksräntor;Referensränta;0,50
2022-08-31;Andra riksbanksräntor;Referensränta;0,50
2022-09-01;Andra riksbanksräntor;Referensränta;0,50
2022-09-02;Andra riksbanksräntor;Referensränta;0,50
2022-09-05;Andra riksbanksräntor;Referensränta;0,50
2022-09-06;Andra riksbanksräntor;Referensränta;0,50
2022-09-07;Andra riksbanksräntor;Referensränta;0,50
2022-09-08;Andra riksbanksräntor;Referensränta;0,50
2022-09-09;Andra riksbanksräntor;Referensränta;0,50
2022-09-12;Andra riksbanksräntor;Referensränta;0,50
2022-09-13;Andra riksbanksräntor;Referensränta;0,50
2022-09-14;Andra riksbanksräntor;Referensränta;0,50
2022-09-15;Andra riksbanksräntor;Referensränta;0,50
2022-09-16;Andra riksbanksräntor;Referensränta;0,50
2022-09-19;Andra riksbanksräntor;Referensränta;0,50
2022-09-20;Andra riksbanksräntor;Referensränta;0,50
2022-09-21;Andra riksbanksräntor;Referensränta;0,50
2022-09-22;Andra riksbanksräntor;Referensränta;0,50
2022-09-23;Andra riksbanksräntor;Referensränta;0,50
2022-09-26;Andra riksbanksräntor;Referensränta;0,50
2022-09-27;Andra riksbanksräntor;Referensränta;0,50
2022-09-28;Andra riksbanksräntor;Referensränta;0,50
2022-09-29;Andra riksbanksräntor;Referensränta;0,50
2022-09-30;Andra riksbanksräntor;Referensränta;0,50
